Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDCH-MC-HPQX344D7JXNMK5XUAQ15PXUY4JL2U,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.237.90.53,Central Denmark,2021-10-17T10:02:52.992Z
NFANDROID2-PRV-UZX8020CHM1-TECHNTV=HUB-7569-4797F3D821908AEE26AC86F83E2928388EED3098A4794347E13865DDBD75BDE2,SE,Com Hem UZX8020CHM1 MVPD STB,Com Hem UZX8020CHM1 MVPD STB,80.217.159.253,Stockholm,2021-10-17T07:22:25.214Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.32,Capital Region,2021-10-16T08:11:28.276Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.94.189,Capital Region,2021-10-15T18:05:10.017Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.189,Northern Denmark,2021-10-13T21:21:02.627Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.88.57,Capital Region,2021-10-12T20:05:43.713Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.88.57,Capital Region,2021-10-12T12:36:23.355Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.33,Capital Region,2021-10-11T20:28:32.841Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.32,Capital Region,2021-10-08T19:16:41.026Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.33,Capital Region,2021-10-07T21:46:21.094Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.53,Central Denmark,2021-10-07T21:24:52.872Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.181,Capital Region,2021-10-06T20:59:40.972Z
